author,affiliation
Aaron M. Berger,NWFSC_OR
Alison D. Whitman,ODFW
Andi Stephens,NWFSC_OR
Brian J. Langseth,NWFSC_WA
Chantel R. Wetzel,NWFSC_WA
Corey B. Niles,WDFW
E. J. Dick,SWFSC_SC
Emma M. Saas,SWFSC_SC
Ian G. Taylor,NWFSC_WA
Jason M. Cope,NWFSC_WA
Jim Hastie,NWFSC_WA
John C. Field,SWFSC_SC
John E. Budrick,CDFW
John R. Wallace,NWFSC_WA
Joseph J. Bizzarro,SWFSC_FE
Julia Coates,CDFW
Kelli F. Johnson,NWFSC_WA
Kiva L. Oken,NWFSC_WA
Kristen E. Hinton,WDFW
Kristin Marshall,NWFSC_WA
Laurel S. Lam,PSMFC
Lisa K. Hillier,WDFW
Maia S. Kapur,SAFS
Melissa A. Haltuch,NWFSC_WA
Melissa A. Head,NWFSC_WA
Melissa H. Monk,SWFSC_SC
Nick Tolimieri,NWFSC_WA
Owen S. Hamel,NWFSC_WA
Qi Lee,SAFS
Sean E. Matson,WCR
Tanya L. Rogers,SWFSC_SC
Tien-Shui Tsou,WDFW
Vladlena Gertseva,NWFSC_WA
Xi He,SWFSC_SC
